x,y
35.12364892,177.5539538
107.2377105,84.60923769
106.6121549,83.10500261
105.9518282,81.52284693
106.1129799,83.75919781
111.0750675,83.53286015
112.6288508,84.89149683
114.0619211,84.45183549
113.1836647,84.49949353
109.9228125,85.042036
112.4471982,85.23267933
113.4103832,82.90412613
109.7425192,83.4007196
111.8836364,85.53825867
110.0688072,84.92695536
110.9346396,84.60847082
112.5782327,83.61154862
113.2003467,84.8654127
111.101894,81.90764882
115.9615215,84.20669006
110.2506448,84.86484012
110.3979852,82.8277321
113.8523713,82.82616012
114.3211316,86.42422802
113.7796716,83.02441389
113.7647679,83.50166806
112.1854756,82.38397777
111.473085,82.14086708
111.8709666,83.82730367
112.7287348,79.69750288
110.1242954,83.90037387
113.4592221,82.76170243
114.5509889,84.87116738
113.6482392,82.76399589
111.1460374,83.18254822
112.4241511,82.89908699
149.240279,111.3257331
150.1891017,109.1524101
150.5696802,110.232644
150.7213851,109.6228673
106.9022036,72.44062179
120.2311378,78.75807597
120.356472,78.70655039
119.6403111,80.20025658
119.2512787,80.7530214
119.5641622,79.18519207
123.480987,81.05542311
118.9485043,81.50935856
120.8179304,81.81313772
119.9122782,80.46975815
118.8618435,81.60279945
121.5539714,80.26824468
120.0018654,80.79289687
119.4105431,82.58030608
120.3678347,81.99780478
117.8073994,80.15548612
118.9196357,80.25964532
119.5187213,79.0784856
121.2044382,82.48552364
119.33744,80.52846041
118.7054818,80.12340904
119.8295928,79.35057607
120.7014924,80.48314642
121.3928252,79.70999223
119.1938108,80.43660973
118.1638203,81.9786112
117.9236812,79.79207618
119.2377431,79.5024602
118.3349546,80.76744405
121.3933933,82.24724698
120.62145,79.04046594
121.5047072,79.79270131
119.6939639,81.34954441
118.9170419,80.70470529
120.8102844,80.80152415
120.9805321,78.73163931
117.5880704,79.40921355
121.5801503,79.13750081
122.4344228,81.77307296
119.1632008,80.05028603
123.336884,79.75210829
120.0110994,80.94887056
121.1833986,82.31970828
119.7991517,83.24016373
121.4988267,80.71039691
121.8451369,81.13200573
121.202664,78.97612972
118.7146338,78.08234856
119.7645963,79.32329377
119.7848558,80.29299017
120.2343087,80.17776708
118.0558841,79.8776861
119.2247579,79.15730366
122.2740145,80.74765517
122.9703137,80.75520006
116.232024,83.0154989
120.6680213,81.20107017
120.3333258,78.63688315
117.3073665,81.20114984
118.437478,79.03911453
118.3983696,80.74868073
120.1617054,80.9404203
119.4612418,81.62420706
119.6802391,81.29702416
121.6075786,78.53805953
120.1569771,80.42657011
121.2428136,79.36982083
118.5234208,81.23335949
119.9958282,79.50506783
120.8906717,81.10948892
119.3378339,80.83445454
120.591559,78.46364272
119.0324803,80.21691216
120.1997676,78.89988386
117.9074712,79.35405004
122.2397922,78.56242998
119.825152,79.14800293
122.3162292,80.72190477
117.2835532,80.07453625
119.8178345,82.23999739
118.2203284,79.59513768
118.227885,77.8801703
119.5890101,78.14829753
121.8595992,79.48342535
115.9426983,80.78114313
121.0603271,80.74773824
119.1503136,80.58344039
120.2328758,81.95980495
118.630349,79.25592234
141.4373307,63.78782306
115.7288197,79.59934405
112.9890038,79.55087291
116.4276704,82.76951591
113.4634185,80.82913424
113.9741532,80.07610199
117.3223918,82.90748362
114.9457954,83.05086437
116.1861114,79.66465822
114.3920533,78.88314035
156.2992469,121.7932507
158.2698401,121.8335912
155.8371632,121.4192643
157.1265935,121.0764229
158.4910604,122.1978963
158.8919364,121.9845269
157.1890849,121.4400169
156.83586,120.551719
156.8085916,121.7566622
157.179001,119.5156559
158.8963173,119.4026591
157.6408055,118.7992377
159.0527223,119.5210261
158.1515144,120.6607897
159.1711564,120.2979791
160.582769,121.1635143
160.4202159,120.7094033
159.9241718,119.8419617
159.5050212,119.8441553
159.2510061,120.8363545
122.6550162,78.14450876
124.6655462,77.93543749
137.8728984,81.23645559
109.5467132,91.08844368
109.5136511,91.46223099
124.9770302,78.190269
125.0949368,75.97132722
114.7465316,76.99444939
109.7227808,85.50059067
108.3401308,87.48940459
111.1757157,87.92209075
107.1873332,86.63978965
110.6288602,88.0785219
110.4162674,85.31857559
109.6373814,87.79954262
111.8262784,87.60549534
109.0198104,89.21790334
107.8274251,89.36651402
110.3565011,86.86186125
108.6005603,85.96227926
109.9931318,86.60562574
108.6156296,88.18576075
108.9757187,87.55275414
110.4696877,87.62368277
109.4568886,89.18933111
111.3379596,86.14023996
109.5438881,86.81051891
106.9236774,89.52149814
111.392396,89.03649565
110.3919508,87.28764357
108.7675911,87.24290901
111.0781231,89.88749066
108.9495413,88.46697946
108.3174346,89.17053409
110.839491,87.83820467
111.0929283,87.39471664
110.3162252,88.43686985
108.426753,86.1923242
111.2016578,87.67535628
110.1137467,87.40235725
110.1946022,87.46471296
108.4466294,88.40575356
109.0814645,88.66132268
109.7980173,87.31708014
110.1726826,85.61744811
109.2397994,84.30818064
110.4360321,87.17558125
109.1140302,87.20409462
110.1664937,86.91790264
110.1041375,85.81015244
110.8528647,86.73204415
110.2540291,86.00796404
108.3549761,88.34015027
109.4162594,89.70157509
108.5200683,89.57081139
108.0621358,88.51639779
110.4798942,89.09935668
108.1248369,86.99344006
108.0357834,87.16622547
107.7934765,88.78758319
111.9108744,87.78050325
111.8649731,88.88864348
112.1446799,88.17347631
110.6257002,87.29459149
110.0643735,89.44471018
112.7975444,89.27364169
113.8542861,88.78336219
109.8994653,85.85523261
108.9521693,86.85052058
109.1001599,87.20356049
109.4394711,87.42672354
106.4144675,87.26090644
110.1620925,88.18307942
109.0411479,87.20941401
109.0854187,87.24219292
107.951177,88.05679299
109.5146372,87.96219502
109.4363063,90.0947212
109.7685853,90.05754068
108.7972685,88.61300263
108.0937544,89.91787441
106.4654359,89.27823413
110.9172837,89.48537401
109.3512454,86.78421922
109.5622474,89.55998326
109.0332569,88.7790909
110.496279,87.84931835
109.2122903,88.59156665
107.8619465,88.01130022
109.730386,88.22200164
107.0450069,87.88541089
108.8056856,87.62751986
110.0536398,88.20431477
109.7220276,87.39292216
109.2711211,89.37157063
108.0847079,87.14578815
109.9130601,87.18787658
108.5758029,89.06061529
107.9955891,88.47132607
109.2404266,89.27969208
109.7248997,89.34125257
109.0172883,88.86305722
109.2996098,90.11277107
108.4061907,87.67192957
109.9412871,88.57001656
109.7474954,87.66390514
110.2768477,88.64404375
110.8316849,87.07397712
110.0019956,87.82246851
108.9105052,87.43223688
109.8229023,87.82510473
109.9095862,86.44446948
106.6056358,87.93255694
107.9007251,86.4420024
107.4223161,86.54844368
108.3966815,85.50779106
108.4492985,84.41773005
110.1738936,88.89947732
110.3724361,87.47492899
110.3434608,88.34385724
109.571432,89.72324827
109.5607501,88.33854691
109.980861,91.11327333
